*ERROR* 	2015/07/18 - 02:11:55: Property Carrier->name is empty at line 881 in file classes/ObjectModel.php
*ERROR* 	2015/07/18 - 10:15:26: Invalid address #5 at line 393 in file classes/Address.php
*ERROR* 	2015/07/18 - 10:15:41: Invalid address #5 at line 393 in file classes/Address.php
*ERROR* 	2015/07/18 - 10:15:41: Invalid address #5 at line 393 in file classes/Address.php
*ERROR* 	2015/07/18 - 10:15:42: Invalid address #5 at line 393 in file classes/Address.php
*ERROR* 	2015/07/18 - 10:15:44: Invalid address #5 at line 393 in file classes/Address.php
*ERROR* 	2015/07/18 - 10:15:46: Invalid address #5 at line 393 in file classes/Address.php
*ERROR* 	2015/07/18 - 10:15:48: Invalid address #5 at line 393 in file classes/Address.php
*ERROR* 	2015/07/18 - 10:16:55: Invalid address #5 at line 393 in file classes/Address.php
*ERROR* 	2015/07/18 - 10:16:59: Invalid address #5 at line 393 in file classes/Address.php
*ERROR* 	2015/07/18 - 10:17:17: Invalid address #5 at line 393 in file classes/Address.php
*ERROR* 	2015/07/18 - 10:17:18: Invalid address #5 at line 393 in file classes/Address.php
